order,x,y
0,0,0
1,7.0,24.0
2,0.0,29.0
3,7.0,39.0
4,20.0,65.0
5,46.0,59.0
6,56.0,44.0
7,77.0,42.0
8,107.0,27.0
9,115.0,4.0
10,144.0,14.0
11,147.0,21.0
12,147.0,27.0
13,147.0,32.0
14,143.0,29.0
15,142.0,34.0
16,142.0,50.0
17,133.0,55.0
18,139.0,88.0
19,117.0,111.0
20,105.0,143.0
21,128.0,140.0
22,136.0,132.0
23,141.0,140.0
24,140.0,142.0
25,147.0,131.0
26,138.0,123.0
27,127.0,118.0
28,86.0,117.0
29,51.0,137.0
30,38.0,144.0
31,30.0,117.0
32,5.0,131.0
33,24.0,79.0
34,73.0,81.0
35,86.0,58.0
36,75.0,6.0
37,43.0,16.0
38,32.0,27.0
39,16.0,20.0
40,4.0,15.0
41,12.0,8.0
42,5.0,3.0
43,0,0
