order,x,y
0,0,0
1,5.0,30.0
2,24.0,35.0
3,27.0,25.0
4,36.0,20.0
5,39.0,55.0
6,43.0,67.0
7,51.0,73.0
8,54.0,78.0
9,60.0,87.0
10,52.0,89.0
11,60.0,94.0
12,63.0,99.0
13,61.0,105.0
14,38.0,105.0
15,30.0,95.0
16,22.0,84.0
17,11.0,96.0
18,6.0,92.0
19,1.0,92.0
20,1.0,98.0
21,0.0,105.0
22,7.0,102.0
23,4.0,86.0
24,6.0,80.0
25,5.0,63.0
26,19.0,65.0
27,28.0,79.0
28,72.0,70.0
29,86.0,76.0
30,96.0,61.0
31,103.0,67.0
32,98.0,97.0
33,73.0,56.0
34,75.0,52.0
35,87.0,42.0
36,85.0,18.0
37,102.0,14.0
38,65.0,37.0
39,58.0,24.0
40,28.0,5.0
41,36.0,2.0
42,3.0,4.0
43,0,0
